Timestamp,Temperature (C),Humidity (%)
2024-12-10 09:40:00,27.1,72.0
2024-12-10 09:41:00,27.1,71.0
2024-12-10 09:43:01,27.1,72.0
2024-12-10 09:44:01,27.1,72.0
2024-12-10 09:45:01,27.1,73.0
2024-12-10 09:46:01,27.1,73.0
2024-12-10 09:47:02,27.1,72.0
2024-12-10 09:48:02,27.1,72.0
2024-12-10 09:49:02,27.1,72.0
2024-12-10 09:50:03,27.1,72.0
2024-12-10 09:51:03,27.1,71.0
2024-12-10 09:52:03,27.1,71.0
2024-12-10 09:53:03,27.1,71.0
2024-12-10 09:54:03,27.1,70.0
2024-12-10 09:55:04,27.1,70.0
2024-12-10 09:56:04,27.1,70.0
2024-12-10 09:57:04,27.1,71.0
2024-12-10 09:58:04,27.1,72.0
2024-12-10 09:59:05,27.1,71.0
2024-12-10 10:00:05,27.1,71.0
2024-12-10 10:01:05,27.1,73.0
2024-12-10 10:02:06,27.1,72.0
2024-12-10 10:03:06,27.1,71.0
2024-12-10 10:04:06,27.1,71.0
2024-12-10 10:05:07,27.1,71.0
2024-12-10 10:06:07,27.1,71.0
2024-12-10 10:07:07,27.1,71.0
2024-12-10 10:08:08,27.1,71.0
2024-12-10 10:10:08,27.1,69.0
2024-12-10 10:11:08,27.1,70.0
2024-12-10 10:12:08,27.1,69.0
2024-12-10 10:13:09,27.1,69.0
2024-12-10 10:14:09,27.1,69.0
2024-12-10 10:15:09,27.1,69.0
2024-12-10 10:16:09,27.1,68.0
2024-12-10 10:17:10,27.1,68.0
2024-12-10 10:18:10,27.1,68.0
2024-12-10 10:19:10,27.1,67.0
2024-12-10 10:20:10,27.1,67.0
2024-12-10 10:21:10,27.1,68.0
2024-12-10 10:22:11,27.1,68.0
2024-12-10 10:23:11,27.1,68.0
2024-12-10 10:24:11,27.1,69.0
2024-12-10 10:26:12,27.1,69.0
2024-12-10 10:27:12,27.1,69.0
2024-12-10 10:28:12,27.1,69.0
2024-12-10 10:30:13,27.1,70.0
2024-12-10 10:31:13,27.1,71.0
2024-12-10 10:32:14,27.1,69.0
2024-12-10 10:33:14,27.1,70.0
2024-12-10 10:34:14,27.1,70.0
2024-12-10 10:35:14,27.1,71.0
2024-12-10 10:36:14,27.1,71.0
2024-12-10 10:37:15,27.1,71.0
2024-12-10 10:38:15,27.1,71.0
